Day,JD,Month,State_id,Year,PRCP,SNOW,TAVE,TMAX,TMIN
1,182,7,'305801',2013,0.84,0,75,77,72
2,183,7,'305801',2013,0.08,0,77,82,72
3,184,7,'305801',2013,0.53,0,78,83,73
4,185,7,'305801',2013,0,0,81,87,75
5,186,7,'305801',2013,0,0,83,90,76
6,187,7,'305801',2013,0,0,85,92,78
7,188,7,'305801',2013,0,0,85,92,78
8,189,7,'305801',2013,0.22,0,81,89,73
9,190,7,'305801',2013,0.23,0,81,88,74
10,191,7,'305801',2013,0,0,80,85,75
11,192,7,'305801',2013,0,0,80,84,76
12,193,7,'305801',2013,0.25,0,73,77,68
13,194,7,'305801',2013,0.06,0,74,81,67
14,195,7,'305801',2013,0,0,82,90,74
15,196,7,'305801',2013,0,0,86,94,78
16,197,7,'305801',2013,0,0,86,94,77
17,198,7,'305801',2013,0,0,88,97,79
18,199,7,'305801',2013,0,0,90,98,81
19,200,7,'305801',2013,0,0,90,96,83
20,201,7,'305801',2013,0,0,87,93,81
21,202,7,'305801',2013,0,0,83,89,76
22,203,7,'305801',2013,0.06,0,81,86,75
23,204,7,'305801',2013,0.31,0,80,87,73
24,205,7,'305801',2013,0,0,76,83,68
25,206,7,'305801',2013,0.01,0,66,68,64
26,207,7,'305801',2013,0,0,74,83,65
27,208,7,'305801',2013,0,0,76,82,70
28,209,7,'305801',2013,0.24,0,74,78,70
29,210,7,'305801',2013,0.01,0,77,85,69
30,211,7,'305801',2013,0,0,75,83,67
31,212,7,'305801',2013,0,0,75,83,67
1,213,8,'305801',2013,0.65,0,71,76,66
2,214,8,'305801',2013,0,0,75,83,67
3,215,8,'305801',2013,0.06,0,73,78,68
4,216,8,'305801',2013,0,0,73,80,66
5,217,8,'305801',2013,0,0,70,78,62
6,218,8,'305801',2013,0,0,73,82,64
7,219,8,'305801',2013,0,0,75,80,70
8,220,8,'305801',2013,0.46,0,76,81,70
9,221,8,'305801',2013,0.05,0,80,85,74
10,222,8,'305801',2013,0,0,77,83,70
11,223,8,'305801',2013,0,0,73,81,65
12,224,8,'305801',2013,0.05,0,76,82,70
13,225,8,'305801',2013,0.85,0,73,77,68
14,226,8,'305801',2013,0,0,68,74,61
15,227,8,'305801',2013,0,0,69,78,59
16,228,8,'305801',2013,0,0,73,82,64
17,229,8,'305801',2013,0,0,74,84,64
18,230,8,'305801',2013,0,0,72,76,68
19,231,8,'305801',2013,0,0,73,79,66
20,232,8,'305801',2013,0,0,78,88,68
21,233,8,'305801',2013,0,0,81,90,72
22,234,8,'305801',2013,0.25,0,75,78,71
23,235,8,'305801',2013,0,0,77,82,71
24,236,8,'305801',2013,0,0,73,80,65
25,237,8,'305801',2013,0,0,74,83,64
26,238,8,'305801',2013,0.04,0,76,84,68
27,239,8,'305801',2013,0.01,0,79,87,71
28,240,8,'305801',2013,0.43,0,79,86,71
29,241,8,'305801',2013,0,0,76,80,71
30,242,8,'305801',2013,0,0,78,85,70
31,243,8,'305801',2013,0,0,80,86,73
1,244,9,'305801',2013,0,0,80,84,75
2,245,9,'305801',2013,0.05,0,78,82,74
3,246,9,'305801',2013,0.03,0,75,82,68
4,247,9,'305801',2013,0,0,74,82,65
5,248,9,'305801',2013,0,0,72,80,64
6,249,9,'305801',2013,0,0,65,72,57
7,250,9,'305801',2013,0,0,70,80,59
8,251,9,'305801',2013,0,0,74,83,64
9,252,9,'305801',2013,0,0,65,73,57
10,253,9,'305801',2013,0.01,0,78,87,68
11,254,9,'305801',2013,0,0,87,96,77
12,255,9,'305801',2013,1.6,0,79,87,70
13,256,9,'305801',2013,0.06,0,68,77,59
14,257,9,'305801',2013,0,0,61,67,54
15,258,9,'305801',2013,0,0,62,73,51
16,259,9,'305801',2013,0.03,0,65,73,56
17,260,9,'305801',2013,0,0,58,65,50
18,261,9,'305801',2013,0,0,62,72,51
19,262,9,'305801',2013,0,0,67,78,55
20,263,9,'305801',2013,0,0,70,79,60
21,264,9,'305801',2013,0.72,0,69,77,61
22,265,9,'305801',2013,0.45,0,62,69,54
23,266,9,'305801',2013,0,0,58,66,50
24,267,9,'305801',2013,0,0,60,73,47
25,268,9,'305801',2013,0,0,63,73,52
26,269,9,'305801',2013,0,0,65,71,58
27,270,9,'305801',2013,0,0,63,69,57
28,271,9,'305801',2013,0,0,65,73,56
29,272,9,'305801',2013,0,0,65,72,57
30,273,9,'305801',2013,0,0,66,75,56
1,274,10,'305801',2013,0,0,71,82,59
2,275,10,'305801',2013,0,0,74,83,64
3,276,10,'305801',2013,0,0,71,78,63
4,277,10,'305801',2013,0,0,76,86,66
5,278,10,'305801',2013,0,0,70,76,64
6,279,10,'305801',2013,0,0,68,70,65
7,280,10,'305801',2013,0.25,0,68,76,60
8,281,10,'305801',2013,0,0,61,67,54
9,282,10,'305801',2013,0,0,58,62,53
10,283,10,'305801',2013,0,0,60,65,54
11,284,10,'305801',2013,0.02,0,64,68,60
12,285,10,'305801',2013,0,0,66,72,60
13,286,10,'305801',2013,0,0,61,65,56
14,287,10,'305801',2013,0,0,59,66,52
15,288,10,'305801',2013,0,0,63,72,53
16,289,10,'305801',2013,0,0,62,67,56
17,290,10,'305801',2013,0.02,0,67,73,61
18,291,10,'305801',2013,0,0,62,68,55
19,292,10,'305801',2013,0.01,0,58,64,52
20,293,10,'305801',2013,0,0,57,63,50
